lidar_date,name,product,illuminations,start,md5sum,download_link,time_range
2010-02-08 18:06:02,MYD021KM.A2010039.0705.061.2018058072811.hdf,MYD021KM,D,2010-02-08 07:05:00,a22d518073725f2e347a9bf1a88bf32d,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MYD021KM.A2010039.0705.061.2018058072811.hdf,4:01:02
2010-02-08 18:06:02,MOD021KM.A2010039.1450.061.2017254153401.hdf,MOD021KM,N,2010-02-08 14:50:00,2575ca0b4b13caa920c91971eb998d73,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2010039.1450.061.2017254153401.hdf,3:43:58
2010-02-08 18:21:36,MYD021KM.A2010039.0705.061.2018058072811.hdf,MYD021KM,D,2010-02-08 07:05:00,a22d518073725f2e347a9bf1a88bf32d,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MYD021KM.A2010039.0705.061.2018058072811.hdf,4:16:36
2010-02-08 18:21:36,MOD021KM.A2010039.1450.061.2017254153401.hdf,MOD021KM,N,2010-02-08 14:50:00,2575ca0b4b13caa920c91971eb998d73,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2010039.1450.061.2017254153401.hdf,3:28:24
2010-02-15 17:05:42,MYD021KM.A2010046.0715.061.2018058123701.hdf,MYD021KM,B,2010-02-15 07:15:00,8155dbdadd9199413c99a81d61ad7ce2,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MYD021KM.A2010046.0715.061.2018058123701.hdf,2:50:42
2010-02-15 17:05:42,MOD021KM.A2010046.0700.061.2017254132008.hdf,MOD021KM,D,2010-02-15 07:00:00,a0f7ee3e5f05b55526cf23647c6e9dce,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2010046.0700.061.2017254132008.hdf,3:05:42
2010-02-15 17:21:30,MYD021KM.A2010046.0715.061.2018058123701.hdf,MYD021KM,B,2010-02-15 07:15:00,8155dbdadd9199413c99a81d61ad7ce2,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MYD021KM.A2010046.0715.061.2018058123701.hdf,3:06:30
2010-02-15 17:21:30,MOD021KM.A2010046.1320.061.2017254131921.hdf,MOD021KM,N,2010-02-15 13:20:00,f22ac816cab9b5f074ccf4e8d0dcdf11,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2010046.1320.061.2017254131921.hdf,2:58:30
2010-04-24 22:06:20,MYD021KM.A2010114.2015.061.2018059195816.hdf,MYD021KM,N,2010-04-24 20:15:00,cdf22765fceab0914bebdb00c11abef2,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MYD021KM.A2010114.2015.061.2018059195816.hdf,5:08:40
2010-04-24 22:06:20,MOD021KM.A2010114.1430.061.2017252020754.hdf,MOD021KM,N,2010-04-24 14:30:00,9f3af3a5df5a6aca220ef87dd38f7f6e,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2010114.1430.061.2017252020754.hdf,0:36:20
2010-04-24 22:11:12,MYD021KM.A2010114.2015.061.2018059195816.hdf,MYD021KM,N,2010-04-24 20:15:00,cdf22765fceab0914bebdb00c11abef2,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MYD021KM.A2010114.2015.061.2018059195816.hdf,5:03:48
2010-04-24 22:11:12,MOD021KM.A2010114.1430.061.2017252020754.hdf,MOD021KM,N,2010-04-24 14:30:00,9f3af3a5df5a6aca220ef87dd38f7f6e,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2010114.1430.061.2017252020754.hdf,0:41:12
2010-04-24 22:18:47,MYD021KM.A2010114.2015.061.2018059195816.hdf,MYD021KM,N,2010-04-24 20:15:00,cdf22765fceab0914bebdb00c11abef2,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MYD021KM.A2010114.2015.061.2018059195816.hdf,4:56:13
2010-04-24 22:18:47,MOD021KM.A2010114.1430.061.2017252020754.hdf,MOD021KM,N,2010-04-24 14:30:00,9f3af3a5df5a6aca220ef87dd38f7f6e,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2010114.1430.061.2017252020754.hdf,0:48:47
2010-04-24 22:34:29,MYD021KM.A2010114.2015.061.2018059195816.hdf,MYD021KM,N,2010-04-24 20:15:00,cdf22765fceab0914bebdb00c11abef2,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MYD021KM.A2010114.2015.061.2018059195816.hdf,4:40:31
2010-04-24 22:34:29,MOD021KM.A2010114.1610.061.2017252020819.hdf,MOD021KM,N,2010-04-24 16:10:00,502666471012a91fda67551d317c0311,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2010114.1610.061.2017252020819.hdf,0:35:31
2010-04-24 22:39:10,MYD021KM.A2010114.2015.061.2018059195816.hdf,MYD021KM,N,2010-04-24 20:15:00,cdf22765fceab0914bebdb00c11abef2,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MYD021KM.A2010114.2015.061.2018059195816.hdf,4:35:50
2010-04-24 22:39:10,MOD021KM.A2010114.1610.061.2017252020819.hdf,MOD021KM,N,2010-04-24 16:10:00,502666471012a91fda67551d317c0311,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2010114.1610.061.2017252020819.hdf,0:30:50
2010-04-24 22:44:54,MYD021KM.A2010114.2015.061.2018059195816.hdf,MYD021KM,N,2010-04-24 20:15:00,cdf22765fceab0914bebdb00c11abef2,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MYD021KM.A2010114.2015.061.2018059195816.hdf,4:30:06
2010-04-24 22:44:54,MOD021KM.A2010114.1610.061.2017252020819.hdf,MOD021KM,N,2010-04-24 16:10:00,502666471012a91fda67551d317c0311,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2010114.1610.061.2017252020819.hdf,0:25:06
2010-04-24 22:49:15,MYD021KM.A2010114.2015.061.2018059195816.hdf,MYD021KM,N,2010-04-24 20:15:00,cdf22765fceab0914bebdb00c11abef2,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MYD021KM.A2010114.2015.061.2018059195816.hdf,4:25:45
2010-04-24 22:49:15,MOD021KM.A2010114.1610.061.2017252020819.hdf,MOD021KM,N,2010-04-24 16:10:00,502666471012a91fda67551d317c0311,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2010114.1610.061.2017252020819.hdf,0:20:45
2010-04-24 22:54:03,MYD021KM.A2010114.2015.061.2018059195816.hdf,MYD021KM,N,2010-04-24 20:15:00,cdf22765fceab0914bebdb00c11abef2,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MYD021KM.A2010114.2015.061.2018059195816.hdf,4:20:57
2010-04-24 22:54:03,MOD021KM.A2010114.1610.061.2017252020819.hdf,MOD021KM,N,2010-04-24 16:10:00,502666471012a91fda67551d317c0311,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2010114.1610.061.2017252020819.hdf,0:15:57
2010-04-24 23:01:44,MYD021KM.A2010114.2015.061.2018059195816.hdf,MYD021KM,N,2010-04-24 20:15:00,cdf22765fceab0914bebdb00c11abef2,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MYD021KM.A2010114.2015.061.2018059195816.hdf,4:13:16
2010-04-24 23:01:44,MOD021KM.A2010114.1610.061.2017252020819.hdf,MOD021KM,N,2010-04-24 16:10:00,502666471012a91fda67551d317c0311,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2010114.1610.061.2017252020819.hdf,0:08:16
2010-04-24 23:07:09,MYD021KM.A2010114.2015.061.2018059195816.hdf,MYD021KM,N,2010-04-24 20:15:00,cdf22765fceab0914bebdb00c11abef2,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MYD021KM.A2010114.2015.061.2018059195816.hdf,4:07:51
2010-04-24 23:07:09,MOD021KM.A2010114.1610.061.2017252020819.hdf,MOD021KM,N,2010-04-24 16:10:00,502666471012a91fda67551d317c0311,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2010114.1610.061.2017252020819.hdf,0:02:51
2010-04-24 23:22:34,MYD021KM.A2010114.2015.061.2018059195816.hdf,MYD021KM,N,2010-04-24 20:15:00,cdf22765fceab0914bebdb00c11abef2,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MYD021KM.A2010114.2015.061.2018059195816.hdf,3:52:26
2010-04-24 23:22:34,MOD021KM.A2010114.1610.061.2017252020819.hdf,MOD021KM,N,2010-04-24 16:10:00,502666471012a91fda67551d317c0311,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2010114.1610.061.2017252020819.hdf,0:12:34
2010-04-24 23:27:15,MYD021KM.A2010114.2015.061.2018059195816.hdf,MYD021KM,N,2010-04-24 20:15:00,cdf22765fceab0914bebdb00c11abef2,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MYD021KM.A2010114.2015.061.2018059195816.hdf,3:47:45
2010-04-24 23:27:15,MOD021KM.A2010114.1610.061.2017252020819.hdf,MOD021KM,N,2010-04-24 16:10:00,502666471012a91fda67551d317c0311,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2010114.1610.061.2017252020819.hdf,0:17:15
2010-04-24 23:32:02,MYD021KM.A2010114.2015.061.2018059195816.hdf,MYD021KM,N,2010-04-24 20:15:00,cdf22765fceab0914bebdb00c11abef2,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MYD021KM.A2010114.2015.061.2018059195816.hdf,3:42:58
2010-04-24 23:32:02,MOD021KM.A2010114.1610.061.2017252020819.hdf,MOD021KM,N,2010-04-24 16:10:00,502666471012a91fda67551d317c0311,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2010114.1610.061.2017252020819.hdf,0:22:02
2010-04-24 23:36:44,MYD021KM.A2010114.2015.061.2018059195816.hdf,MYD021KM,N,2010-04-24 20:15:00,cdf22765fceab0914bebdb00c11abef2,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MYD021KM.A2010114.2015.061.2018059195816.hdf,3:38:16
2010-04-24 23:36:44,MOD021KM.A2010114.1610.061.2017252020819.hdf,MOD021KM,N,2010-04-24 16:10:00,502666471012a91fda67551d317c0311,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2010114.1610.061.2017252020819.hdf,0:26:44
2010-04-25 00:13:00,MYD021KM.A2010115.0415.061.2018059232610.hdf,MYD021KM,D,2010-04-25 04:15:00,d98fe796338d600fe05ec8b26a34b622,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MYD021KM.A2010115.0415.061.2018059232610.hdf,11:02:00
2010-04-25 00:13:00,MOD021KM.A2010115.0535.061.2017252073239.hdf,MOD021KM,D,2010-04-25 05:35:00,1fc1f0d217086a43c99d76f4a6eb1474,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2010115.0535.061.2017252073239.hdf,12:22:00
2010-04-25 00:17:36,MYD021KM.A2010115.0415.061.2018059232610.hdf,MYD021KM,D,2010-04-25 04:15:00,d98fe796338d600fe05ec8b26a34b622,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MYD021KM.A2010115.0415.061.2018059232610.hdf,10:57:24
2010-04-25 00:17:36,MOD021KM.A2010115.0535.061.2017252073239.hdf,MOD021KM,D,2010-04-25 05:35:00,1fc1f0d217086a43c99d76f4a6eb1474,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2010115.0535.061.2017252073239.hdf,12:17:24
2010-04-25 01:07:47,MYD021KM.A2010115.0415.061.2018059232610.hdf,MYD021KM,D,2010-04-25 04:15:00,d98fe796338d600fe05ec8b26a34b622,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MYD021KM.A2010115.0415.061.2018059232610.hdf,10:07:13
2010-04-25 01:07:47,MOD021KM.A2010115.0535.061.2017252073239.hdf,MOD021KM,D,2010-04-25 05:35:00,1fc1f0d217086a43c99d76f4a6eb1474,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2010115.0535.061.2017252073239.hdf,11:27:13
2010-04-25 04:14:44,MYD021KM.A2010115.0415.061.2018059232610.hdf,MYD021KM,D,2010-04-25 04:15:00,d98fe796338d600fe05ec8b26a34b622,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MYD021KM.A2010115.0415.061.2018059232610.hdf,7:00:16
