date,m06,m11,m16
2013-03-26 14:25:42+00:00,0.855,-0.86,-0.77
2013-03-26 14:53:31+00:00,0.9199999999999999,-0.8,-0.95
2013-03-26 15:23:39+00:00,0.88,-0.83,-0.71
2013-03-26 15:56:40+00:00,0.85,-0.785,-0.66
2013-03-26 16:25:49+00:00,0.82,-0.81,-0.76
2013-03-26 18:43:08+00:00,0.88,-0.87,-0.77
2013-03-26 19:10:57+00:00,0.93,-0.91,-0.89
2013-03-26 19:38:47+00:00,0.915,-0.875,-0.995
2013-03-30 12:09:20+00:00,0.765,-0.9,-0.385
2013-04-09 11:53:57+00:00,0.9,-0.91,-0.78
2013-04-09 12:13:41+00:00,0.935,-0.84,-0.87
2013-04-09 12:28:11+00:00,0.945,-0.92,-1.0750000000000002
2013-04-09 12:42:40+00:00,0.63,-0.82,0.02
2013-04-09 14:10:56+00:00,0.795,-0.415,-1.1949999999999998
2013-04-09 14:25:25+00:00,1.16,-0.97,-0.96
2013-04-09 18:24:54+00:00,0.725,-0.9099999999999999,-0.9849999999999999
2013-04-09 18:39:24+00:00,0.85,-2.12,0.74
2013-04-11 12:02:06+00:00,0.7849999999999999,-1.185,0.105
2013-04-11 12:16:36+00:00,0.875,-0.64,-0.4
2013-04-11 12:32:22+00:00,0.7949999999999999,-1.045,-0.335
2013-04-11 12:46:52+00:00,0.91,-1.19,-1.35
2013-04-11 19:29:04+00:00,0.9,-0.89,-0.32
2013-04-15 13:24:53+00:00,0.94,-0.9450000000000001,-1.0899999999999999
2013-04-17 13:57:03+00:00,0.975,-0.82,-1.075
2013-04-17 14:26:24+00:00,1.0,-0.845,-0.885
2013-04-23 18:58:55+00:00,0.93,-0.91,-0.86
2013-07-19 15:44:27+00:00,0.9,-0.79,0.49
2013-07-19 15:58:57+00:00,0.72,-1.31,-0.46
2013-09-25 15:28:53+00:00,0.64,-1.1,-0.26
2013-10-12 18:44:33+00:00,0.91,-0.89,-1.09
2013-11-08 13:08:17+00:00,0.94,-1.08,-0.92
2013-11-08 13:45:54+00:00,1.15,-1.205,-0.6699999999999999
2013-11-09 12:42:34+00:00,0.66,-0.92,-0.39
2013-11-09 12:57:04+00:00,0.755,-0.89,-0.33
2013-11-09 13:40:32+00:00,0.7,-0.81,-0.19
2013-11-09 13:55:02+00:00,0.72,-0.565,-0.41000000000000003
2013-11-26 18:28:52+00:00,0.67,-0.8,-0.51
2013-12-23 13:18:20+00:00,0.73,-0.72,-0.435
2013-12-23 13:32:49+00:00,0.72,-0.72,-0.31
2013-12-23 14:32:02+00:00,0.69,-0.87,-0.5
